>>> Running tests for x64.release
Total: 3102 tests
 *  309 tests will be skipped
 *    4 tests are expected to timeout sometimes
 *    2 tests are expected to be flaky but not crash
 * 2736 tests are expected to pass
 *    0 tests are expected to fail that we won't fix
 *    7 tests are expected to fail that we should fix
No connection to distribution server; running tests locally.
Running 2762 tests
Done running mjsunit/accessors-on-global-object: FAIL
Done running mjsunit/api-call-after-bypassed-exception: pass
Done running mjsunit/argument-assigned: pass
Done running mjsunit/argument-named-arguments: pass
Done running mjsunit/arguments-apply: pass
Done running mjsunit/arguments-call-apply: pass
Done running mjsunit/arguments-enum: pass
Done running mjsunit/arguments-escape: pass
Done running mjsunit/arguments-lazy: pass
Done running mjsunit/arguments-load-across-eval: FAIL
Done running mjsunit/arguments-read-and-assignment: CRASH
Done running mjsunit/array-concat: pass
Done running mjsunit/array-constructor: FAIL
Done running mjsunit/array-elements-from-array-prototype-chain: pass
Done running mjsunit/array-elements-from-array-prototype: pass
Done running mjsunit/array-elements-from-object-prototype: pass
Done running mjsunit/array-foreach: pass
Done running mjsunit/array-functions-prototype: pass
Done running mjsunit/array-indexing: FAIL
Done running mjsunit/array-isarray: FAIL
Done running mjsunit/array-iteration: pass
Done running mjsunit/array-join: CRASH
Done running mjsunit/array-length-number-conversion: pass
Done running mjsunit/array-length: FAIL
Done running mjsunit/array-push-non-smi-value: pass
Done running mjsunit/array-push10: pass
Done running mjsunit/array-push11: FAIL
Done running mjsunit/array-push13: FAIL
Done running mjsunit/array-push14: FAIL
Done running mjsunit/array-push2: pass
Done running mjsunit/array-reduce: pass
Done running mjsunit/array-shift: pass
Done running mjsunit/array-slice: FAIL
Done running mjsunit/array-splice: FAIL
Done running mjsunit/array-tostring: FAIL
Done running mjsunit/array-unshift: FAIL
Done running mjsunit/ascii-regexp-subject: FAIL
Done running mjsunit/asm-directive: FAIL
Done running mjsunit/big-object-literal: FAIL
Done running mjsunit/binary-operation-overwrite: pass
Done running mjsunit/bit-not: pass
Done running mjsunit/bitops-info: pass
Done running mjsunit/bitwise-operations-bools: pass
Done running mjsunit/bitwise-operations-undefined: pass
Done running mjsunit/body-not-visible: pass
Done running mjsunit/bool-concat: pass
Done running mjsunit/boolean: pass
Done running mjsunit/break: pass
Done running mjsunit/call-non-function-call: pass
Done running mjsunit/call-non-function: pass
Done running mjsunit/call-stub: pass
Done running mjsunit/call: pass
Done running mjsunit/char-escape: pass
Done running mjsunit/class-of-builtins: pass
Done running mjsunit/closure: pass
Done running mjsunit/codegen-coverage: pass
Done running mjsunit/compare-character: pass
Done running mjsunit/compare-nan: pass
Done running mjsunit/compare-table-eq: pass
Done running mjsunit/compare-table-gt: pass
Done running mjsunit/compare-table-gteq: pass
Done running mjsunit/compare-table-lt: pass
Done running mjsunit/compare-table-lteq: pass
Done running mjsunit/compare-table-ne: pass
Done running mjsunit/compare-table-seq: pass
Done running mjsunit/compare-table-sne: pass
Done running mjsunit/context-variable-assignments: pass
Done running mjsunit/cyclic-array-to-string: FAIL
Done running mjsunit/cyrillic: pass
Done running mjsunit/d8-os: pass
Done running mjsunit/date-parse: FAIL
Done running mjsunit/declare-locally: FAIL
Done running mjsunit/deep-recursion: pass
Done running mjsunit/delay-syntax-error: pass
Done running mjsunit/delete-global-properties: pass
Done running mjsunit/delete-in-eval: pass
Done running mjsunit/delete-in-with: pass
Done running mjsunit/delete-non-configurable: pass
Done running mjsunit/delete-vars-from-eval: FAIL
Done running mjsunit/delete: pass
Done running mjsunit/do-not-strip-fc: pass
Done running mjsunit/dont-enum-array-holes: pass
Done running mjsunit/dont-reinit-global-var: pass
Done running mjsunit/dtoa: pass
Done running mjsunit/eagerly-parsed-lazily-compiled-functions: pass
Done running mjsunit/element-read-only: pass
Done running mjsunit/elements-transition-and-store: pass
Done running mjsunit/error-accessors: pass
Done running mjsunit/error-constructors: FAIL
Done running mjsunit/error-tostring: FAIL
Done running mjsunit/escape: pass
Done running mjsunit/eval-enclosing-function-name: FAIL
Done running mjsunit/eval-typeof-non-existing: pass
Done running mjsunit/eval: FAIL
Done running mjsunit/extra-commas: pass
Done running mjsunit/for-in-delete: pass
Done running mjsunit/for-in-null-or-undefined: pass
Done running mjsunit/for-in: FAIL
Done running mjsunit/for: pass
Done running mjsunit/fun-as-prototype: pass
Done running mjsunit/fun-name: pass
Done running mjsunit/function-arguments-duplicate: pass
Done running mjsunit/function-bind-name: FAIL
Done running mjsunit/function-call: FAIL
Done running mjsunit/function-name-eval-shadowed: pass
Done running mjsunit/function-names: FAIL
Done running mjsunit/function-property: pass
Done running mjsunit/function-prototype: pass
Done running mjsunit/function-var: pass
Done running mjsunit/function-without-prototype: pass
Done running mjsunit/function: FAIL
Done running mjsunit/fuzz-accessors: pass
Done running mjsunit/get-own-property-descriptor: pass
Done running mjsunit/get-prototype-of: FAIL
Done running mjsunit/getter-in-prototype: pass
Done running mjsunit/getter-in-value-prototype: pass
Done running mjsunit/global-accessors: FAIL
Done running mjsunit/global-arrow-delete-this: FAIL
Done running mjsunit/global-deleted-property-ic: pass
Done running mjsunit/global-ic: pass
Done running mjsunit/global-load-from-eval-in-with: FAIL
Done running mjsunit/global-load-from-eval: pass
Done running mjsunit/global-load-from-nested-eval: pass
Done running mjsunit/global-properties: FAIL
Done running mjsunit/global-vars-eval: pass
Done running mjsunit/global-vars-with: pass
Done running mjsunit/has-own-property-evaluation-order: FAIL
Done running mjsunit/has-own-property: pass
Done running mjsunit/hex-parsing: pass
Done running mjsunit/holy-double-no-arg-array: pass
Done running mjsunit/html-comments: pass
Done running mjsunit/if-in-undefined: pass
Done running mjsunit/in: pass
Done running mjsunit/indexed-accessors: FAIL
Done running mjsunit/indexed-value-properties: pass
Done running mjsunit/instanceof-2: pass
Done running mjsunit/instanceof: pass
Done running mjsunit/int32-ops: FAIL
Done running mjsunit/integer-to-string: pass
Done running mjsunit/invalid-lhs: FAIL
Done running mjsunit/invalid-source-element: pass
Done running mjsunit/json-parser-recursive: CRASH
Done running mjsunit/json-replacer-number-wrapper-tostring: pass
Done running mjsunit/json-replacer-order: FAIL
Done running mjsunit/json-stringify-holder: FAIL
Done running mjsunit/json-stringify-stack: FAIL
Done running mjsunit/json: FAIL
Done running mjsunit/keyed-array-call: pass
Done running mjsunit/keyed-call-generic: pass
Done running mjsunit/keyed-call-ic: pass
Done running mjsunit/keyed-ic: pass
Done running mjsunit/keyed-storage-extend: pass
Done running mjsunit/keywords-and-reserved_words: pass
Done running mjsunit/large-object-allocation: pass
Done running mjsunit/large-object-literal: pass
Done running mjsunit/lazy-load: pass
Done running mjsunit/leakcheck: pass
Done running mjsunit/length: pass
Done running mjsunit/load-callback-from-value-classic: pass
Done running mjsunit/local-load-from-eval: pass
Done running mjsunit/logical: pass
Done running mjsunit/lookup-behind-property: FAIL
Done running mjsunit/math-exp-precision: pass
Done running mjsunit/math-sqrt: pass
Done running mjsunit/md5: pass
Done running mjsunit/megamorphic-callbacks: pass
Done running mjsunit/mod: pass
Done running mjsunit/mul-exhaustive-part1: pass
Done running mjsunit/mul-exhaustive-part10: pass
Done running mjsunit/mul-exhaustive-part2: pass
Done running mjsunit/mul-exhaustive-part3: pass
Done running mjsunit/mul-exhaustive-part4: pass
Done running mjsunit/mul-exhaustive-part5: pass
Done running mjsunit/mul-exhaustive-part6: pass
Done running mjsunit/mul-exhaustive-part7: pass
Done running mjsunit/mul-exhaustive-part8: pass
Done running mjsunit/mul-exhaustive-part9: pass
Done running mjsunit/multiline: pass
Done running mjsunit/multiple-return: pass
Done running mjsunit/negate-zero: pass
Done running mjsunit/negate: FAIL
Done running mjsunit/new-function: pass
Done running mjsunit/new: pass
Done running mjsunit/newline-in-string: FAIL
Done running mjsunit/no-branch-elimination: pass
Done running mjsunit/no-octal-constants-above-256: pass
Done running mjsunit/no-semicolon: pass
Done running mjsunit/non-ascii-replace: pass
Done running mjsunit/not: pass
Done running mjsunit/nul-characters: pass
Done running mjsunit/number-limits: pass
Done running mjsunit/number-literal: pass
Done running mjsunit/number-string-index-call: pass
Done running mjsunit/number-tostring-add: pass
Done running mjsunit/number-tostring-big-integer: FAIL
Done running mjsunit/number-tostring-func: FAIL
Done running mjsunit/number-tostring-small: pass
Done running mjsunit/number-tostring: FAIL
Done running mjsunit/numops-fuzz-part1: pass
Done running mjsunit/numops-fuzz-part2: pass
Done running mjsunit/numops-fuzz-part3: pass
Done running mjsunit/numops-fuzz-part4: pass
Done running mjsunit/obj-construct: pass
Done running mjsunit/object-create: FAIL
Done running mjsunit/object-define-properties: pass
Done running mjsunit/object-freeze-global: pass
Done running mjsunit/object-get-own-property-names: FAIL
